"Neighborhood","YEAR","Count","nb_lat","nb_lon"
"Arbutus-Ridge",2018,353,49.2468049108,-123.161669238
"Arbutus-Ridge",2019,345,49.2468049108,-123.161669238
"Arbutus-Ridge",2017,425,49.2468049108,-123.161669238
"Arbutus-Ridge",2021,273,49.2468049108,-123.161669238
"Arbutus-Ridge",2020,353,49.2468049108,-123.161669238
"Downtown",2019,14761,49.2807470711,-123.116567008
"Downtown",2017,12409,49.2807470711,-123.116567008
"Downtown",2020,9094,49.2807470711,-123.116567008
"Downtown",2021,7833,49.2807470711,-123.116567008
"Downtown",2018,13312,49.2807470711,-123.116567008
"Dunbar-Southlands",2018,502,49.2379619063,-123.189546803
"Dunbar-Southlands",2020,488,49.2379619063,-123.189546803
"Dunbar-Southlands",2019,470,49.2379619063,-123.189546803
"Dunbar-Southlands",2021,305,49.2379619063,-123.189546803
"Dunbar-Southlands",2017,498,49.2379619063,-123.189546803
"Fairview",2018,2151,49.2645404871,-123.131048865
"Fairview",2019,2594,49.2645404871,-123.131048865
"Fairview",2021,1486,49.2645404871,-123.131048865
"Fairview",2017,2086,49.2645404871,-123.131048865
"Fairview",2020,2041,49.2645404871,-123.131048865
"Grandview-Woodland",2017,2212,49.2764396102,-123.066728221
"Grandview-Woodland",2018,2011,49.2764396102,-123.066728221
"Grandview-Woodland",2021,1378,49.2764396102,-123.066728221
"Grandview-Woodland",2020,1691,49.2764396102,-123.066728221
"Grandview-Woodland",2019,2135,49.2764396102,-123.066728221
"Hastings-Sunrise",2020,1185,49.277934053,-123.040269923
"Hastings-Sunrise",2018,1414,49.277934053,-123.040269923
"Hastings-Sunrise",2019,1533,49.277934053,-123.040269923
"Hastings-Sunrise",2017,1351,49.277934053,-123.040269923
"Hastings-Sunrise",2021,1078,49.277934053,-123.040269923
"Kensington-Cedar Cottage",2017,1571,49.2466864472,-123.072884592
"Kensington-Cedar Cottage",2021,1332,49.2466864472,-123.072884592
"Kensington-Cedar Cottage",2019,1807,49.2466864472,-123.072884592
"Kensington-Cedar Cottage",2018,1588,49.2466864472,-123.072884592
"Kensington-Cedar Cottage",2020,1533,49.2466864472,-123.072884592
"Kerrisdale",2017,460,49.2236554855,-123.159576182
"Kerrisdale",2020,446,49.2236554855,-123.159576182
"Kerrisdale",2018,482,49.2236554855,-123.159576182
"Kerrisdale",2019,511,49.2236554855,-123.159576182
"Kerrisdale",2021,413,49.2236554855,-123.159576182
"Killarney",2019,678,49.2170216717,-123.037647029
"Killarney",2018,646,49.2170216717,-123.037647029
"Killarney",2021,466,49.2170216717,-123.037647029
"Killarney",2017,658,49.2170216717,-123.037647029
"Killarney",2020,534,49.2170216717,-123.037647029
"Kitsilano",2017,1794,49.2675398494,-123.16329474
"Kitsilano",2019,1853,49.2675398494,-123.16329474
"Kitsilano",2021,1288,49.2675398494,-123.16329474
"Kitsilano",2018,2045,49.2675398494,-123.16329474
"Kitsilano",2020,1734,49.2675398494,-123.16329474
"Marpole",2021,849,49.2102074666,-123.12838166
"Marpole",2020,874,49.2102074666,-123.12838166
"Marpole",2017,975,49.2102074666,-123.12838166
"Marpole",2019,1048,49.2102074666,-123.12838166
"Marpole",2018,959,49.2102074666,-123.12838166
"Mount Pleasant",2018,2769,49.2630652507,-123.09851312
"Mount Pleasant",2017,2710,49.2630652507,-123.09851312
"Mount Pleasant",2019,3023,49.2630652507,-123.09851312
"Mount Pleasant",2021,2074,49.2630652507,-123.09851312
"Mount Pleasant",2020,2305,49.2630652507,-123.09851312
"Oakridge",2019,670,49.2264031973,-123.123024604
"Oakridge",2020,391,49.2264031973,-123.123024604
"Oakridge",2017,615,49.2264031973,-123.123024604
"Oakridge",2021,330,49.2264031973,-123.123024604
"Oakridge",2018,589,49.2264031973,-123.123024604
"Renfrew-Collingwood",2020,2052,49.2473427346,-123.040166465
"Renfrew-Collingwood",2019,2030,49.2473427346,-123.040166465
"Renfrew-Collingwood",2017,2219,49.2473427346,-123.040166465
"Renfrew-Collingwood",2018,1987,49.2473427346,-123.040166465
"Renfrew-Collingwood",2021,1892,49.2473427346,-123.040166465
"Riley Park",2017,973,49.2447664796,-123.103146806
"Riley Park",2020,840,49.2447664796,-123.103146806
"Riley Park",2018,1015,49.2447664796,-123.103146806
"Riley Park",2021,701,49.2447664796,-123.103146806
"Riley Park",2019,1164,49.2447664796,-123.103146806
"Shaughnessy",2020,412,49.2456809771,-123.139760167
"Shaughnessy",2018,460,49.2456809771,-123.139760167
"Shaughnessy",2017,481,49.2456809771,-123.139760167
"Shaughnessy",2021,304,49.2456809771,-123.139760167
"Shaughnessy",2019,367,49.2456809771,-123.139760167
"South Cambie",2017,385,49.2455564633,-123.121800916
"South Cambie",2018,346,49.2455564633,-123.121800916
"South Cambie",2021,338,49.2455564633,-123.121800916
"South Cambie",2019,482,49.2455564633,-123.121800916
"South Cambie",2020,460,49.2455564633,-123.121800916
"Strathcona",2017,2422,49.2782195786,-123.088235281
"Strathcona",2019,2884,49.2782195786,-123.088235281
"Strathcona",2020,2514,49.2782195786,-123.088235281
"Strathcona",2018,2647,49.2782195786,-123.088235281
"Strathcona",2021,1810,49.2782195786,-123.088235281
"Sunset",2019,1210,49.2187561515,-123.092038001
"Sunset",2020,998,49.2187561515,-123.092038001
"Sunset",2017,938,49.2187561515,-123.092038001
"Sunset",2021,860,49.2187561515,-123.092038001
"Sunset",2018,1099,49.2187561515,-123.092038001
"Victoria-Fraserview",2020,587,49.220011941,-123.064134718
"Victoria-Fraserview",2017,752,49.220011941,-123.064134718
"Victoria-Fraserview",2018,686,49.220011941,-123.064134718
"Victoria-Fraserview",2021,541,49.220011941,-123.064134718
"Victoria-Fraserview",2019,710,49.220011941,-123.064134718
"West End",2020,2659,49.2850111894,-123.135437653
"West End",2019,3817,49.2850111894,-123.135437653
"West End",2018,3526,49.2850111894,-123.135437653
"West End",2017,3422,49.2850111894,-123.135437653
"West End",2021,2284,49.2850111894,-123.135437653
"West Point Grey",2019,435,49.2684012111,-123.203467483
"West Point Grey",2018,408,49.2684012111,-123.203467483
"West Point Grey",2017,444,49.2684012111,-123.203467483
"West Point Grey",2021,328,49.2684012111,-123.203467483
"West Point Grey",2020,454,49.2684012111,-123.203467483
